airtable_id,website,languages_spoken,export_capable,company_name,company_id,employee_count_range,country,last_updated,hq_city,Products,fleet_size_vehicles,all_sites,email,service_coverage,founding_year,hq_address,certifications_generic,hq_maps_link,contact_person,phone
recAt0MsnmNI40XJ6,https://www.geekplus.com,ZH|EN|DE|FR (+local),true,Geek+ (Geekplus Technology Co.),c22871a8-b1a1-4a34-b4ea-bb0c7d38bcdc,>1000,CN,2025-05-01,Beijing,recoPBGdnXYOXacbP|recHox6yL0KQF30I1|rec4WlUa1jurx6Zjb|recMFxzZMlriVMnHu|recdnqlAvLq45oHXs|reciZblQ7dNEVT7Xz|recDfmE56iPzd7NGI|recV1ZuwfTEwOIwSc|recp3wwBVefoBjwsb|recs6dIs5O7TaMMEX|recmbicmJy4sUt709|recnQBsrkLarKX5Eu|recjFjiwOGE3qQNHv|recFnQ4RbedtXGUyl,7000+ robots (2019; substantially higher today — verify current),"HQ Beijing (CN) | Nanjing factory (CN) | EU offices: Germany, France, UK, Netherlands | US, Japan, Korea, SEA, Australia",info@geekplus.com (regional via website),EU|Global,2015,"8th-9th Floor, Building 5, GLP I-Park, Anxiang Street, Shunyi District, Beijing 101300, China",ISO 9001|CE (EU models),https://maps.google.com/?q=GLP+I-Park+Anxiang+Street+Shunyi+District+Beijing+China,Zheng Yong (Founder/CEO),(via regional offices)
recBp0jsgCvbubRbL,https://www.sew-eurodrive.com,,,SEW-EURODRIVE,1238466f-19c5-4b13-9da2-654ef22c7ceb,,DE,,,recGPV6fxOcHJtpHf|recDC6W1kfFwnRwmp|recz5L2YBJZTWmysl|recWhlTEyoo2tbs6S|recB2gYNWYug4WeoB,,,,,,,,,,
recFnzzgpAvw62jDy,https://www.safelog.de,,,SAFELOG GmbH,3a1d230e-b818-46c1-a223-d780dc9fa51d,,DE,,,rechKCQGnekjWCjaD|rec2uouKhz5d0bS3d|recTOEXUfDv2RyNp7|recMOwYpMmQcEtCwm|recCqbYYLhrhJ8R12|reccvsiUfFx7ZgYfb|recqobxlZo2zBzBSb,,,,,,,,,,
recOSC9xMrIEHZsnb,https://idealworks.com,DE|EN,true,idealworks GmbH,015a5b00-361d-4985-9a9f-309e29561002,50–250,DE,2025-05-01,Munich,recgqbxyuy5S4oxYS|recCDUxrJWkvlV2D2,verify (deployed at BMW plants + external),HQ Munich (DE) | BMW Group ecosystem | global pilots via AnyFleet partners,communications@idealworks.com,EU|Global,2020,"Riesstraße 22, 80992 Munich, Germany",CE|ISO 13849,https://maps.google.com/?q=Riesstrasse+22+80992+Munich+Germany,Jimmy Nassif (CTO); Michael Alexander Schneider (CEO),"+49 151 538 463 04 (CTO direct, verify general line)"
recOxIAGR6tkmh8Sc,https://www.still.de,DE|EN (+local),true,STILL GmbH,1b820a50-a542-49f5-ae1e-08b3a783ee6e,>1000,DE,2025-05-01,Hamburg,recF25qEvpTL0dMDA|recM9jb2bDGCIKT7n|recOKjuG0d3CM4QGb|reclbAYK4pM1lVUAv|recWToOh7NJUzzmZo|recYnxUBL1KpnvJF3|recfdraQR3Kpi2WcK|recJtrvNXm0f5feag|recWmLguPdQVb7EQh|rech4JDemmrZgK9sK,verify (KION brand; large installed base),"HQ Hamburg (DE) | Plants: Hamburg, Reutlingen, Luzern (CH) | KION Group brand | 200+ sales/service locations globally",info@still.de,EU|Global,1920,"Berzeliusstraße 10, 22113 Hamburg, Germany",ISO 9001|ISO 14001|CE,https://maps.google.com/?q=Berzeliusstrasse+10+22113+Hamburg+Germany,(customer service +49 40 7339 2000),+49 40 7339 2000
recbrD05wDmbCJJox,https://www.bitzer.de,DE|EN,true,BITZER SE,cee7600e-815e-44da-a28e-fc5c74596789,1000–10000,DE,2026-07-14,Sindelfingen,recO0o8nTnxhyrdF3,,,,,,,,,,
reccYgYjiWKDCZrDt,https://www.grenzebach.com,DE|EN|+local,true,Grenzebach Maschinenbau GmbH,e85db937-ef1c-4c6a-8672-75dee87d26cc,>1000,DE,2026-06-16,Hamlar,recpAiRQghmnSvZCo|recw9kWORrxGUwC3s|rec5VgErvHkq3gLya|recyMxl97RQuPImPf|recg9GzBjqutceerZ,,,,,,,,,,
receHK0TwbfKpgoWJ,https://robotics.omron.com,EN|+local,true,Omron Mobile Robotics,1d190179-eb42-4a8a-bd6f-7350ee2b7d59,>1000,US,2026-06-16,Pleasanton,rec292jmvk1mUTP2z|recdzAzN70KE9BGG2|recSg3JojuMr6FgZy|recBo0OThLh3bxU2W|recD8uVxaZSqBxGJh|recRmEXoKMX7Bi2p5|recNbOUpi6JQGdjlR,,,,,,,,,,
rechR7nCyahFKTAMp,https://www.gea.com,DE|EN,true,GEA Refrigeration Technologies,ecf315f7-e586-49d6-b114-35f6b29a0d40,10000+,DE,2026-07-14,Düsseldorf,reciWbkfHHUstsHnA,,,,,,,,,,
recjVkDGpP36pQokQ,https://www.ds-automotion.com,DE|EN,true,DS Automotion GmbH,459fc7a1-01b9-4269-98ee-1d5667bec183,250–1000,AT,2025-05-01,Linz,recnbAB6leRubMaAn|reckMaoTZHzPe4hlL|recgSv6KWiNjcGtVl|receYcHGJdM6EoDTj|recCYPqmsfvzh7Hcp|recQgQpH0BgDF71lA|recckWiaNif9yMC9q|recZaqpTPwWqsQepq|recXGEd8bUTkwFAyU,6000+ vehicles delivered,HQ Linz (AT) | DS Automotion GmbH Germany (Wals/Salzburg region) | part of SSI Schäfer Group since 2023 (verify),office@ds-automotion.com,EU|Global,1984,"Lunzerstraße 60, 4030 Linz, Austria",CE|ISO 9001 (verify)|VDA 5050 ready,https://maps.google.com/?q=Lunzerstrasse+60+4030+Linz+Austria,(sales via website),+43 732 90 96 0
recjfvPS6rpvUpcKt,https://www.greyorange.com,,,GreyOrange,99b5c20f-b8f7-47d5-a642-83399590d644,,US,,,rectX7NVIXzqyknfn|recZ6Lzu6XnlxZY91|rec6kM0iPNVjbji05|recOBZ1oftoR4UfJ2,,,,,,,,,,
reck9mB0hzWs4tHYB,https://www.mlr.de,,,MLR System GmbH,ff920698-a0f9-48ee-b2c9-c268084bf4ae,,DE,,,recU85zHdhcA5nF7C|recgD0ZK9EDjVYcU7|recpHbENKVJ2wEByQ,,,,,,,,,,
recoAvZXd1iBbz0KJ,https://www.jungheinrich.com,DE|EN (+local subsidiaries),true,Jungheinrich AG,9495f9f6-f45a-45fc-b32f-b004fff0ea32,>1000,DE,2025-05-01,Hamburg,recqVCl4gxJRYxzha|recac2jti0Bm6exnP|recEvMTQC5Gi6NeGp|recRyTidRAmDaCODd|recPwIYuTG4wbOyLX|rec9f9eIJso42yw80|recZ9aiU7TN2okMjj|recN2Ty53NhifVrfk,verify (large; AGV portfolio EKS/ERC/EKX widely installed),"HQ Hamburg (DE) | Plants: Norderstedt, Moosburg, Landsberg, Lüneburg, Degernpoint (DE) | Rocrich AGV JV (US) | 40+ country subsidiaries",info@jungheinrich.de,EU|Global,1953,"Friedrich-Ebert-Damm 129, 22047 Hamburg, Germany",ISO 9001|ISO 14001|CE,https://maps.google.com/?q=Friedrich-Ebert-Damm+129+22047+Hamburg+Germany,(sales via regional offices),+49 40 6948 0
recoyLjc5lkqQQtKL,https://ottomotors.com,,,OTTO Motors (Rockwell Automation),66b5f06c-facd-4d64-8c36-f521f84f565d,,US,,,recJI9UvHqnYkjznr|recgDWUl09HO2luTV|recEAhw44Kp3Il1bN|recPnPju29c5Lje4V|recLyhQ1HmByZOjur|recDFPUOb6yt5jCE6,,,,,,,,,,
recpyJUHIF3IrIj3I,https://www.balyo.com,EN|FR|DE,true,Balyo,ca89caed-f181-48b7-b9e5-c52299ba52d7,50–250,FR,2025-05-01,Arcueil,recBnlfL3B8iN4Pk0|rechzvvBe2lPK0HPA|recudHiD0Hr6vFWt7|recsa41VyLfwCxQMM|rectDGFHnuugivHVD|recwqHi3tcaj5CifK,1500+ robots / 25+ countries,"HQ Arcueil (FR) | Moissy-Cramayel site (Prologis, Parc de Chanteloup, 2 RD 57, Bât 2, 77550) | Boston (US) | Singapore (10 Sunview Rd, Level 6, 627617)",investors@balyo.com (general: via book-a-call),EU|Global,2005,"74 Av. Vladimir Ilitch Lénine, 7th floor, 94110 Arcueil, France",CE (all devices),https://maps.google.com/?q=74+Avenue+Vladimir+Ilitch+Lenine+94110+Arcueil+France,Pascal Rialland (CEO/Chairman),+33 1 55 26 43 00 (verify)
recqURrzWQCNcvx5y,https://www.alstefgroup.com,FR|EN|+local,true,BA Systèmes,f30dee00-4bc4-4053-8adb-95f34fd3f93b,50–250,FR,2026-06-16,Mordelles,recpXuTPk1WhEDMBn|recMNiweXmFRYYMMA|recACMx2GlxYY7wWL|recJi7YiOMXJO835n|recuVDsgfU2ffU2OH|recllor0QKpCLXVyM|recSTkyTmQMzfTIK5|recMMOvhlyYEj4vuv,,,,,,,,,,
recukyJanezH7UdIk,https://www.visionnav.com,,,VisionNav Robotics,8a33a229-866b-494e-8564-5860ce998ff1,,CN,,,rec5utZr8VI47oi9J|receEbW22WooBZAEk|recq7Z5SDdy8uWe01|recmAHYsYDT0oEutc|recBBqUSZt8j1X0G7|rec0JL0NAukuveYN2|recO8eV2Fst3p8QB7|recGWtG0eHga4TSdm|recBGZDPLiPVBIoMH|recJFSPBhYlG3A0AG|rec1ZqlTiFr4tEVfD|reckMEw3mYKxs0SaF|recCzV6KVphBGolxG|receklrVCS6XhZ67Q|reclDFUDR0D8VyLKQ|recBEPWRvHGYVdgXL,,,,,,,,,,
recxPqJCeWxlTqf4V,https://www.toyota-forklifts.eu,EN|DE|FR|IT|+local,true,Toyota Material Handling Europe,8c571e4a-e67b-452f-bd79-a7fcdda97e8f,>1000,SE,2026-06-16,Mjölby,recUttBqAMV9Zybsh|recneFhfHDihotcvg|rec3LAWOnptQyA0Qd|recY9E9FYs1A9a1R1|recrVOMCBBGrwfcHw|recSOWm3vTMO6zFrH|recMIsLkeDqtHXZWX,,,,,,,,,,
reczTC0zu3eDGWybk,https://www.movu-robotics.com,EN|NL|FR|+local,true,Movu Robotics,b19d2426-a6b0-4fdf-b3d8-7f3aaf30894a,250–1000,BE,2026-06-16,Lokeren,recJ3iujQEbOuQDiS|reccdsLJCfTfvtqVF|recGizdd9YCk4hF6M|recUTeUVTzXVQim0h,,,,,,,,,,
reczVbLhhjMOYTRDU,https://www.agilox.net,DE|EN,true,AGILOX Services GmbH,789cda05-b82b-4344-9a26-97fffc4cb6dd,50–250,AT,2025-05-01,Marchtrenk,recBBPj1oeWxUa6Ch|recqmpzQYXj49tdXb|recVWnyfxbA3dcqQF|recHipEfxgszrikac|recVkWQ82Rbq7mpqj|recPCc8hyuhhfqRv9,2000+ AMRs deployed,HQ Marchtrenk (AT) | AGILOX North America Inc (US) | AGILOX Germany | EU sales partners,office@agilox.net,EU|Global,2017,"Eggendorf 14, 4614 Marchtrenk, Austria (verify exact)",CE|ISO 3691-4 (verify),https://maps.google.com/?q=AGILOX+Marchtrenk+Austria,(sales via website),+43 7243 21100 (verify)
