NACE Rev. 2.1 – Vollbaum · Framework v7 · Supplier-centric · Kunden-Perspektive;;;;;;;;;;;;;;;;
Alle Klassen = Anbieter · C2+C3 = Perspektive der Kunden dieser Anbieter · C5=K.O. (kein Scoring-Kriterium mehr);;;;;;;;;;;;;;;;
Blau = vom Nutzer aenderbar · Score-Formel in Spalte M · K.O.-Flag in Spalte P;;;;;;;;;;;;;;;;
Abschn.;Abt.;Gruppe;Klasse;Bezeichnung (EN);"Aktivitaet
(Kurzform DE)";"C1
Projekt-
spez.
(1-3)";"C2
Markt-
transp.
(1-3)";"C3
Kunden-
profil
(1-3)";"C4
Supplier
Fragm.
(1-3)";"C6
Markt-
groesse
(1-3)";"C7
Kein
Matching
(1-3)";"Score
/10";Ampel;Empfehlung;"K.O.-
Flag";Hinweis / Kunden-Perspektive
B;08;08.9;08.91;Mining of chemical and fertiliser minerals;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Chemikalien-Bergbau
B;08;08.9;08.92;Extraction of peat;;1;2;2;2;1;2;5,6;MID;Pruefen;;Torf: auslaufend, Renaturierungsprojekte
B;08;08.9;08.93;Extraction of salt;;1;2;2;2;1;2;5,6;MID;Pruefen;;Salzgewinnung: Anlagen-Engineering
B;08;08.9;08.99;Other mining and quarrying n.e.c.;;2;3;3;3;2;2;8,4;HI;Prio 1 TOP;;Geothermie/Neue Mineralien: Kunden oft ohne Mining-Erfahrung | Geothermie, Mineralien: Wachstumsnische
;Abt. 09;;;;;;;;;;;;;;;
B;09;09.1;09.10;Support activities for petroleum and natural gas extraction;;2;1;1;1;2;2;4,9;MID;Pruefen;WARNUNG;Oil & Gas Services: Kunden sind professionelle Konzerne mit PSL | WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Oelfeld-Services: PSL dominiert
B;09;09.9;09.90;Support activities for other mining and quarrying;;3;3;3;3;2;3;9,7;HI;Prio 1 TOP;;Mining Engineering Services: Kunden sind neue Bergbauprojekte ohne Netzwerk | Mining Engineering Services: CRM Act schafft neue Projekte, fragmentiert
ABSCHNITT C – Manufacturing;;;;;;;;;;;;;;;;
;Abt. 10;;;;;;;;;;;;;;;
C;10;10.1;10.11;Processing and preserving of meat;;2;1;1;2;2;2;5,4;MID;Pruefen;;Fleischverarbeitung: Kunden sind LEH-Ketten, professionell | Fleischverarbeitung: Anlagenbau, HACCP-Systeme
C;10;10.1;10.12;Processing and preserving of poultry meat;;2;1;1;2;2;2;5,4;MID;Pruefen;;Gefluegel: Schlachthof-Engineering
C;10;10.1;10.13;Production of meat and poultry meat products;;2;1;1;2;2;2;5,4;MID;Pruefen;;Fleischprodukte: Verpackungsanlagen
C;10;10.2;10.20;Processing and preserving of fish, crustaceans and molluscs;;2;1;1;3;1;2;5,7;MID;Pruefen;;Fischverarbeitung: Spezialbau, Kaehlketten
C;10;10.3;10.31;Processing and preserving of potatoes;;2;1;1;2;1;2;5,2;MID;Pruefen;;Kartoffelverarbeitung
C;10;10.3;10.32;Manufacture of fruit and vegetable juice;;2;1;1;3;2;2;5,9;MID;Pruefen;;Saftproduktion: Abfuellanlagen
C;10;10.3;10.39;Other processing and preserving of fruit and vegetables;;2;1;1;3;2;2;5,9;MID;Pruefen;;Obstverarbeitung
C;10;10.4;10.41;Manufacture of oils and fats;;2;1;1;3;1;2;5,7;MID;Pruefen;;Oelmuehlen: spezialisiertes Engineering
C;10;10.4;10.42;Manufacture of margarine and similar edible fats;;2;1;1;2;1;2;5,2;MID;Pruefen;;Margarineproduktion
C;10;10.5;10.51;Operation of dairies and cheese making;;3;2;2;3;2;3;8,5;HI;Prio 1 TOP;;"Molkerei: Kunden sind Haendler/LEH, professionell; aber Neueinsteiger im Kaese-Premium-Segment | Molkerei: GMP-aehnlich, Einmal-Buyer, fragmentierte Supplier"
C;10;10.5;10.52;Manufacture of ice cream;;2;1;1;2;1;2;5,2;MID;Pruefen;;Eisproduktion: Kaehleanlagen
C;10;10.6;10.61;Manufacture of grain mill products;;2;1;1;2;1;2;5,2;MID;Pruefen;;Muehlen-Engineering
C;10;10.6;10.62;Manufacture of starches and starch products;;2;1;1;3;1;2;5,7;MID;Pruefen;;Staerkeproduktion: Prozessengineering
C;10;10.7;10.71;"Manufacture of bread; fresh pastry goods and cakes";;1;1;1;2;1;2;4,3;MID;Pruefen;;Baeckerei: Anlagenprojekte moeglich
C;10;10.7;10.72;"Manufacture of rusks, biscuits; preserved pastry goods";;2;1;1;2;1;2;5,2;MID;Pruefen;;Keksproduktion: Abfuellanlagen
C;10;10.7;10.73;Manufacture of macaroni, noodles, couscous;;2;1;1;2;1;2;5,2;MID;Pruefen;;Nudelproduktion
C;10;10.8;10.81;Manufacture of sugar;;3;1;1;2;2;2;6,3;MID;Prio 2 GUT;;Zucker: Kunden sind Lebensmittelkonzerne, professionell | Zuckerfabrik: komplexes Engineering
C;10;10.8;10.82;Manufacture of cocoa, chocolate and sugar confectionery;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Schokolade: Kunden auch KMU-Konfiserie, gelegentlich | Schokolade: Spezialanlagen, Einmal-Buyer
C;10;10.8;10.83;Processing of tea and coffee;;2;1;1;3;1;2;5,7;MID;Pruefen;;Kaffeeroesterei: Anlagenprojekte
C;10;10.8;10.84;Manufacture of condiments and seasonings;;2;1;1;2;1;2;5,2;MID;Pruefen;;Wuerzmittel
C;10;10.8;10.85;Manufacture of prepared meals and dishes;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Convenience Food: Kunden teils neue Handelsmarken | Convenience Food: stark wachsend
C;10;10.8;10.86;Manufacture of homogenised food preparations and dietetic food;;3;2;2;3;2;2;8,0;HI;Prio 1 TOP;;Diaetnahrung: Kunden teils Pharma/Medizin, gelegentlich | Functional Food: GMP-nah, Wachstum
C;10;10.8;10.89;Manufacture of other food products n.e.c.;;2;1;1;3;2;2;5,9;MID;Pruefen;;Sonstige Lebensmittel
C;10;10.9;10.91;Manufacture of prepared feeds for farm animals;;2;1;1;2;2;2;5,4;MID;Pruefen;;Tierfutter: Anlagenplanung
C;10;10.9;10.92;Manufacture of prepared pet food;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Pet Food: Kunden teils neue Marken | Pet Food: wachsend, neue Werke
;Abt. 11;;;;;;;;;;;;;;;
C;11;11.0;11.01;Distilling, rectifying and blending of spirits;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Spirituosen: Kunden sind Haendler/Importeure, teils Einzel-Gastronomie | Destillerie: Premiumsegment waechst
C;11;11.0;11.02;Manufacture of wine from grape;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Wein: Kunden sind Importeure/Haendler | Weinkellerei: Engineering-Projekte
C;11;11.0;11.03;Manufacture of cider and other fermented fruit beverages;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Cider: kleinere Projekte
C;11;11.0;11.04;Manufacture of other non-distilled fermented beverages;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Fermentierte Getraenke: wachsend
C;11;11.0;11.05;Manufacture of beer;;3;2;2;3;2;2;8,0;HI;Prio 1 TOP;;Bier: Kunden sind Haendler/Gastro, teils Craft-Direktkunden | Brauerei: Craft Beer treibt Anlagen
C;11;11.0;11.06;Manufacture of malt;;2;1;1;2;1;2;5,2;MID;Pruefen;;Maelzerei: Prozessengineering
C;11;11.0;11.07;"Manufacture of soft drinks; mineral waters and other bottled waters";;2;1;1;3;2;2;5,9;MID;Pruefen;;Softdrinks: Abfuellanlagen
;Abt. 12;;;;;;;;;;;;;;;
C;12;12.0;12.00;Manufacture of tobacco products;;2;1;1;1;1;2;4,7;MID;Pruefen;;Tabak: auslaufend, kaum neue Projekte
;Abt. 13;;;;;;;;;;;;;;;
C;13;13.1;13.10;Preparation and spinning of textile fibres;;3;3;3;3;2;3;9,7;HI;Prio 1 TOP;;"Technische Fasern: Kunden sind Composites-/Aerospace-Hersteller, selten, fragmentierter Supplier-Markt | Hochleistungsfasern (Carbon, Aramid): Spinnanlage-Engineering; Lohnspinnen für technische Textilien"
C;13;13.2;13.20;Weaving of textiles;;3;3;3;3;2;3;9,7;HI;Prio 1 TOP;;"Technische Weberei: Kunden sind Industrieunternehmen ohne Weberei-Netzwerk | Technische Weberei (3D-Gewebe, Composites): Spezialwebmaschinen-Projekte; Lohnweberei Kleinserie"
C;13;13.3;13.30;Finishing of textiles;;3;3;3;3;2;3;9,7;HI;Prio 1 TOP;;"Textilveredlung: Kunden sind Hersteller technischer Textilien, selten | Technische Textilveredlung (Beschichtung, Funktionalisierung): Lohnveredelung; REACH-Compliance"
C;13;13.9;13.91;Manufacture of knitted and crocheted fabrics;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Strickwaren-Lohnfertigung
C;13;13.9;13.92;Manufacture of made-up textile articles, except apparel;;2;3;3;3;2;2;8,4;HI;Prio 1 TOP;;Technische Konfektion: Kunden sind Industrie/Medtech | Technische Konfektion: Kleinserie-Lohnfertigung
C;13;13.9;13.93;Manufacture of carpets and rugs;;1;2;2;2;1;2;5,6;MID;Pruefen;;Teppich-Engineering fuer Spezialanwendungen
C;13;13.9;13.94;Manufacture of cordage, rope, twine and netting;;2;2;2;3;1;2;6,9;MID;Prio 2 GUT;;Technische Seile: Spezialfertigung
C;13;13.9;13.95;Manufacture of non-wovens and articles from non-wovens, exc. apparel;;3;3;3;3;2;2;9,2;HI;Prio 1 TOP;;Vliesstoffe: Kunden sind Medtech/Hygiene, speziell | Vliesstoff fuer Medtech/Filtration: Lohnfertigung
C;13;13.9;13.96;Manufacture of other technical and industrial textiles;;3;3;3;3;2;2;9,2;HI;Prio 1 TOP;;Technische Textilien: Kunden sind Aerospace/Automotive, selten | Technische Textilien: Engineering + Kleinserie
C;13;13.9;13.99;Manufacture of other textiles n.e.c.;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;
;Abt. 14;;;;;;;;;;;;;;;
C;14;14.1;14.11;Manufacture of leather clothes;;1;2;2;2;1;2;5,6;MID;Pruefen;;Schutzkleidung: Kleinserie
C;14;14.1;14.12;Manufacture of workwear;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Arbeitskleidung: Kunden sind Unternehmen, B2B-Beschaffung | Berufsbekleidung: B2B-Lohnfertigung
C;14;14.1;14.13;Manufacture of other outerwear;;1;1;1;2;1;2;4,3;MID;Pruefen;;
C;14;14.1;14.14;Manufacture of underwear;;1;1;1;2;1;2;4,3;MID;Pruefen;;
C;14;14.1;14.19;Manufacture of other wearing apparel and accessories n.e.c.;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;PSA: B2B-Kunden | Schutzausruestung PSA: B2B-Kleinserie
C;14;14.2;14.20;Manufacture of articles of fur;;0;0;0;0;0;0;0,0;---;---;;EU-Markt sehr klein
C;14;14.3;14.31;Manufacture of knitted and crocheted hosiery;;1;1;1;2;1;2;4,3;MID;Pruefen;;
C;14;14.3;14.39;Manufacture of other knitted and crocheted apparel;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Kompressionsstrümpfe: Medizin-B2B
;Abt. 15;;;;;;;;;;;;;;;
C;15;15.1;15.11;"Tanning and dressing of leather; dressing and dyeing of fur";;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Gerberei: Prozessoptimierung, REACH-Compliance – kleine Projekte
C;15;15.1;15.12;"Manufacture of luggage, handbags; saddlery and harness";;1;2;2;2;1;2;5,6;MID;Pruefen;;Lederwaren: Spezialentwicklung fuer techn. Anwendungen
C;15;15.2;15.20;Manufacture of footwear;;1;2;2;2;1;2;5,6;MID;Pruefen;;Schuhe: Materialentwicklung
;Abt. 16;;;;;;;;;;;;;;;
C;16;16.1;16.10;Sawmilling and planing of wood;;1;2;2;2;1;2;5,6;MID;Pruefen;;Saegewerk: Kunden sind Holzverarbeiter, professionell | Saegerei: Maschinenoptimierung
C;16;16.2;16.21;Manufacture of veneer sheets and wood-based panels;;2;1;1;2;1;2;5,2;MID;Pruefen;;Spanplatten: Anlagen-Engineering
C;16;16.2;16.22;Manufacture of assembled parquet floors;;1;1;1;2;1;2;4,3;MID;Pruefen;;Parkett: geringe Relevanz
C;16;16.2;16.23;Manufacture of other builders' carpentry and joinery;;1;2;2;2;1;2;5,6;MID;Pruefen;;Holzbau-Elemente
C;16;16.2;16.24;Manufacture of wooden containers;;1;1;1;2;1;2;4,3;MID;Pruefen;;Holzverpackung
C;16;16.2;16.25;"Manufacture of other products of wood; cork, straw and plaiting";;1;1;1;2;1;2;4,3;MID;Pruefen;;Holzprodukte
C;16;16.2;16.26;Manufacture of solid fuels from vegetable biomass;;2;3;3;3;1;2;8,1;HI;Prio 1 TOP;;Biomasse-Pellets: Kunden sind Energieversorger/Kommunen, Einmal-Beschaffung | Biomasse-Pellets: Energiewende treibt neue Anlagen – Einmal-Buyer
C;16;16.2;16.27;Finishing of wooden products;;1;2;2;2;1;2;5,6;MID;Pruefen;;Holzveredelung: Oberflaechen-Engineering
C;16;16.2;16.28;Manufacture of other products of wood and articles of cork;;1;1;1;2;1;2;4,3;MID;Pruefen;;Sonstige Holzprodukte
;Abt. 17;;;;;;;;;;;;;;;
C;17;17.1;17.11;Manufacture of pulp;;3;1;1;2;2;2;6,3;MID;Prio 2 GUT;;Zellstoff: komplexes Prozessengineering
C;17;17.1;17.12;Manufacture of paper and paperboard;;3;1;1;2;2;2;6,3;MID;Prio 2 GUT;;Papierfabrik: Engineering-Projekte
C;17;17.2;17.21;Manufacture of corrugated paper and paperboard containers;;2;1;1;2;2;2;5,4;MID;Pruefen;;Wellpappe: Anlagen-Engineering
C;17;17.2;17.22;Manufacture of household and sanitary goods and toilet requisites;;2;1;1;2;1;2;5,2;MID;Pruefen;;Hygieneprodukte: Fertigungsanlagen
C;17;17.2;17.23;Manufacture of paper stationery;;1;1;1;2;1;2;4,3;MID;Pruefen;;Papierprodukte: geringe Relevanz
C;17;17.2;17.24;Manufacture of wallpaper;;1;1;1;2;1;2;4,3;MID;Pruefen;;Tapeten: geringe Relevanz
C;17;17.2;17.29;Manufacture of other articles of paper and paperboard;;1;2;2;2;1;2;5,6;MID;Pruefen;;Papierprodukte sonstige
;Abt. 18;;;;;;;;;;;;;;;
C;18;18.1;18.11;Printing of newspapers;;1;1;1;1;1;2;3,8;LO;Niedrig;;Zeitungsdruck: auslaufend
C;18;18.1;18.12;Other printing;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Spezial-Druck: Kunden sind Markenartikel, teils Einmal | Spezialdrucke: Verpackungsdruck, Sicherheitsdruck – Entwicklungsprojekte
C;18;18.1;18.13;Pre-press and pre-media services;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Pre-Press Dienstleister: Projektgeschaeft moeglich
C;18;18.2;18.20;Reproduction of recorded media;;1;1;1;1;1;2;3,8;LO;Niedrig;;Datentraeger: auslaufend
;Abt. 19;;;;;;;;;;;;;;;
C;19;19.1;19.10;Manufacture of coke oven products;;2;1;1;1;1;2;4,7;MID;Pruefen;;Koks: auslaufend
C;19;19.2;19.20;Manufacture of refined petroleum products;;3;1;1;1;2;2;5,8;MID;Pruefen;;Raffinerie: Engineering-Projekte, aber PSL stark
;Abt. 20;;;;;;;;;;;;;;;
C;20;20.1;20.11;Manufacture of industrial gases;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Industriegase: Kunden sind Industrie, professionell aber Neukunden bei H2 | Industriegase: Anlagen-Engineering – Wasserstoff-Boost
C;20;20.1;20.12;Manufacture of dyes and pigments;;2;1;1;3;2;2;5,9;MID;Pruefen;;Farben/Pigmente: Spezialentwicklung fuer Kunden – ECHTES Projektgeschaeft (B2B-Entwicklung)
C;20;20.1;20.13;Manufacture of other inorganic basic chemicals;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;;Anorganische Chemie: Anlagenengineering
C;20;20.1;20.14;Manufacture of other organic basic chemicals;;3;2;2;3;2;3;8,5;HI;Prio 1 TOP;;Organische Chemie: Kunden teils Einzel-Projektauftrag | Organische Chemie: Spezialentwicklung fuer Kunden
C;20;20.1;20.15;Manufacture of fertilisers and nitrogen compounds;;3;1;1;2;2;2;6,3;MID;Prio 2 GUT;;Duenger: Anlagen-Engineering
C;20;20.1;20.16;Manufacture of plastics in primary forms;;3;1;1;2;2;2;6,3;MID;Prio 2 GUT;;Kunststoffe Basis: Prozessengineering
C;20;20.1;20.17;Manufacture of synthetic rubber in primary forms;;2;1;1;2;1;2;5,2;MID;Pruefen;;Synthesekautschuk
C;20;20.2;20.20;Manufacture of pesticides and other agrochemical products;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Pestizide: Anlagen
C;20;20.3;20.30;"Manufacture of paints, varnishes; printing ink and mastics";;2;1;1;2;2;2;5,4;MID;Pruefen;;Farben/Lacke: Kundenspezifische Entwicklung – echtes B2B-Projektgeschaeft
C;20;20.4;20.41;Manufacture of soap and detergents, cleaning and polishing preparations;;2;1;1;2;2;2;5,4;MID;Pruefen;;Reinigungsmittel: Rezepturentwicklung fuer Industrie-Kunden
C;20;20.4;20.42;Manufacture of perfumes and toilet preparations;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Kosmetik-Lohnproduktion: Kunden sind neue Marken, gelegentlich | Kosmetik: Auftragsformulierung – ECHTES B2B-Entwicklungsprojekt fuer Marken
C;20;20.5;20.51;Manufacture of explosives;;3;1;1;2;1;2;6,0;MID;Prio 2 GUT;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Sprengstoff: hoch reguliert, kleine Projekte
