Full Integration;;"AGV only; full warehouse";Full supply chain automation   ;Full supply chain automation   ;One-stop partner for warehouse robotics   ;One-stop partner for warehouse robotics   ;One-stop partner for warehouse robotics   ;One-stop partner for warehouse robotics   ;One-stop partner for warehouse robotics   ;Fully automated operation   ;Fully automated operation   ;Fully automated operation   ;Fully automated operation   ;Fully automated operation   ;Complete automated material flow   ;Complete automated material flow   ;Complete automated material flow   ;Complete automated material flow   ;Complete automated material flow   ;End-to-end automation solutions   ;End-to-end automation solutions   ;End-to-end automation solutions   ;End-to-end automation solutions   ;End-to-end automation solutions   ;Integrated software suite (mōt.OS)   ;Integrated software suite (mōt.OS)   ;Integrated software suite (mōt.OS)   ;Integrated software suite (mōt.OS)   ;Full-line solutions provider   ;Full-line solutions provider   ;Full-line solutions provider   ;Full-line solutions provider   ;Full-line solutions provider   ;Automates internal transportation   ;Automates internal transportation   ;Automates internal transportation   ;Automates internal transportation   ;Automated intralogistics with swarm intelligence   ;Automated intralogistics with swarm intelligence   ;Automated intralogistics with swarm intelligence   ;Automated intralogistics with swarm intelligence   ;Automated intralogistics with swarm intelligence   
Typical installation size;;2M;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Client modification of system;;yes - full installation, partial, no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes - dual driving mode (manual/automatic)   ;Yes - dual driving mode (manual/automatic)   ;Yes - dual driving mode (manual/automatic)   ;Yes - dual driving mode (manual/automatic)   ;Yes - dual driving mode (manual/automatic)   ;Yes - dual operation (manual/automatic)   ;Yes - dual operation (manual/automatic)   ;Yes - dual operation (manual/automatic)   ;Yes - dual operation (manual/automatic)   ;Yes - dual operation (manual/automatic)   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes - route programming via Excel   ;Yes - route programming via Excel   ;Yes - route programming via Excel   ;Yes - route programming via Excel   ;Yes - route programming via Excel   ;Modular design with top modules   ;Modular design with top modules   ;Modular design with top modules   ;Modular design with top modules   ;Yes - Plug & Perform technology   ;Yes - Plug & Perform technology   ;Yes - Plug & Perform technology   ;Yes - Plug & Perform technology   ;Yes - Plug & Perform technology   
Navigation;;"Reflectors; Slam; Floor Markings";N/A;N/A;"QR Code Navigation; Laser SLAM; Vision; Natural   ";"QR Code Navigation; Laser SLAM; Vision; Natural   ";"QR Code Navigation; Laser SLAM; Vision; Natural   ";"QR Code Navigation; Laser SLAM; Vision; Natural   ";"QR Code Navigation; Laser SLAM; Vision; Natural   ";"Infrastructure-free; SLAM with LIDAR   ";"Infrastructure-free; SLAM with LIDAR   ";"Infrastructure-free; SLAM with LIDAR   ";"Infrastructure-free; SLAM with LIDAR   ";"Infrastructure-free; SLAM with LIDAR   ";"Laser scanner; Modern navigation technologies   ";"Laser scanner; Modern navigation technologies   ";"Laser scanner; Modern navigation technologies   ";"Laser scanner; Modern navigation technologies   ";"Laser scanner; Modern navigation technologies   ";"Laser-Guided Vehicles (LGVs); 3D Mapping   ";"Laser-Guided Vehicles (LGVs); 3D Mapping   ";"Laser-Guided Vehicles (LGVs); 3D Mapping   ";"Laser-Guided Vehicles (LGVs); 3D Mapping   ";"Laser-Guided Vehicles (LGVs); 3D Mapping   ";"Natural Feature; Laser; Rail; Deep Lane   ";"Natural Feature; Laser; Rail; Deep Lane   ";Laser   ;"Natural Feature; Laser; Rail; Deep Lane   ";Magnetic Tape Guidance   ;LIDAR-based Natural Features Navigation   ;LIDAR-based Natural Features Navigation   ;LIDAR-based Natural Features Navigation   ;LIDAR-based Natural Features Navigation   ;"Cameras; Sensors; Laser scanners; SLAM   ";"Cameras; Sensors; Laser scanners; SLAM   ";"Cameras; Sensors; Laser scanners; SLAM   ";"Cameras; Sensors; Laser scanners; SLAM   ";"X-SWARM Technology; Decentralized swarm intelligence; LIDAR; Laser scanner   ";"X-SWARM Technology; Decentralized swarm intelligence; LIDAR; Laser scanner   ";"X-SWARM Technology; Decentralized swarm intelligence; LIDAR; Laser scanner   ";"X-SWARM Technology; Decentralized swarm intelligence; LIDAR; Laser scanner   ";"X-SWARM Technology; Decentralized swarm intelligence; LIDAR; Laser scanner   "
Vehicle Types;;"""Picking AMR""; ""Underride AMR""; ""Stacker""; ""Reach Truck""; ""VNA""; ""tugger""; ""front picker""";Tugger AGVs   ;Freezer AGVs   ;P500 (Picking Robot)   ;RS11-DX (Tote-to-Person)   ;M200C (Moving Robot)   ;F12ML (Moving Robot)   ;S20C-A-2 (Sorting Robot)   ;VEENY (VNA)   ;REACHY (Reach Truck)   ;LOWY CB (Counterbalanced Stacker)   ;LOWY (Stacker)   ;LOWY HD (Stacker)   ;LTX 50 iGo (Tugger)   ;EXV iGo (Stacker)   ;FM-X iGo (Reach Truck)   ;MX-X iGo (VNA)   ;AXV 12 iGo (Pallet Truck)   ;TRILATERAL LGV   ;REACH LGV   ;QUAD LGV   ;ELEPHANT LGV   ;UNICORN LGV   ;ATL   ;JayBoT   ;ATLIS 3000   ;Counterbalance   ;Mouse and Mole (AGCs)   ;Core Tow Tractor (AGF)   ;CB18 (AGF)   ;M10 Tug Autonomous Vehicle (AV)   ;ML2 Mini Load Autonomous Vehicle (AV)   ;MiR250   ;MiR600   ;MiR1350   ;MiR1200 Pallet Jack   ;ONE (All-Rounder)   ;OCF (Counterbalanced Forklift)   ;ODM (for small load carriers)   ;OFL (Omnidirectional Free-Lift)   ;OPS (Platform Shuttle)   
Weight capacity;;200kg;4535 kg (towing)   ;5800 kg   ;600 kg   ;30 kg   ;200 kg   ;1400 kg   ;20 kg   ;1500 kg   ;1600 kg   ;1600 kg   ;1200 kg   ;1600 kg   ;Up to 5 tons (towing)   ;N/A;N/A;N/A;1200 kg   ;1600 kg   ;3 tons   ;4 tons   ;5000 kg   ;5 tons   ;2720 kg   ;1200 lbs;454 kg   ;4530 kg;Up to 4400 lbs (towing)   ;Up to 10000 lbs (towing)   ;Up to 4000 lbs   ;Up to 2200 lbs   ;440 lbs   ;250 kg   ;600 kg   ;1350 kg   ;1200 kg   ;1000 kg   ;1500 kg   ;300 kg   ;800 kg   ;1500 kg   
Max Speed;;2m/s;1.02 m/s   ;N/A;2 m/s   ;1.5 m/s   ;1.5 m/s   ;1.2 m/s   ;2.5 m/s   ;Up to 2 m/s   ;Up to 2 m/s   ;Up to 2 m/s   ;Up to 2 m/s   ;Up to 2 m/s   ;1.7 m/s   ;2 m/s   ;1.7 m/s   ;2 m/s (inductive)   ;2 m/s   ;1.5 m/s   ;1.5 m/s   ;1.5 m/s   ;1.5 m/s   ;N/A;1.8 m/s   ;1.8 m/s;1.8 m/s;2.0 m/s;1.67 MPH   ;4 MPH   ;6.7 MPH   ;1.9 MPH   ;4 MPH   ;2 m/s   ;2 m/s   ;1.2 m/s   ;1.5 m/s   ;1.4 m/s   ;1.4 m/s   ;1.4 m/s   ;1.4 m/s   ;1.9 m/s   
Min aisle width;;1,4m;N/A;N/A;N/A;N/A;N/A;2400 mm   ;N/A;1.8 m   ;2.9 m   ;N/A;2.7 m   ;2.9 m   ;N/A;N/A;N/A;N/A;2,480 mm   ;1.5 m   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;80 cm   ;N/A;N/A;N/A;1.6 m   ;2.1 m   ;1.0 m   ;1.6 m   ;1.6 m   
Max lift height;;15m;N/A;>9 m   ;60 mm   ;10,765 mm   ;N/A;120 mm   ;N/A;17 m   ;11 m   ;4 m   ;3 m   ;3 m   ;N/A;3.8 m   ;10 m   ;14 m   ;1.8 m   ;17 m   ;12 m   ;N/A;6.5 m   ;9 m   ;2.5 m   ;N/A;10 cm   ;7.6 m;N/A;N/A;176 in   ;N/A;N/A;N/A;N/A;N/A;N/A;0.62 m   ;1.6 m   ;0.25 m   ;1.2 m   ;100 mm   
Temperature range;;5°C-20°C;0°-40°C   ;-25°C   ;-10°C (for cold chain)   ;-10°C (for cold chain)   ;-10°C (for cold chain)   ;-10°C (for cold chain)   ;-10°C (for cold chain)   ;N/A;N/A;N/A;N/A;N/A;>0°C, <40°C   ;>0°C, <40°C   ;>0°C, <40°C   ;>0°C, <40°C   ;>0°C, <40°C   ;5°-40°C   ;5°-40°C   ;5°-40°C   ;5°-40°C   ;5°-40°C   ;-23°C to 43°C;5°-35°C;N/A;-23°C to 43°C;0-40°C;0-40°C   ;0-40°C   ;0-40°C   ;0-40°C   ;0°-40°C   ;5°-40°C   ;5°-40°C   ;5°-40°C   ;0°-40°C   ;0°-40°C;0°-40°C   ;0°-40°C   ;0°-40°C   
Humdity range;;30%-60%;0-95% non-condensing   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Low humidity, non-condensing   ;Low humidity, non-condensing   ;Low humidity, non-condensing   ;Low humidity, non-condensing   ;Low humidity, non-condensing   ;10-95% non-condensing   ;10-95% non-condensing   ;10-95% non-condensing   ;10-95% non-condensing   ;10-95% non-condensing   ;N/A;30%-80%;N/A;N/A;35-85% non-condensing;35-85% non-condensing   ;35-85% non-condensing   ;35-85% non-condensing   ;35-85% non-condensing   ;10-95% non-condensing   ;10-95% non-condensing   ;20-95% non-condensing   ;20-95% non-condensing   ;5-90% non-condensing   ;5-90% non-condensing;5-90% non-condensing   ;5-90% non-condensing   ;5-90% non-condensing   
Clean room;;yes/no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes (MiR250 optional)   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A (ESD protection available)   ;N/A
Safety;;"PlD Lidar; Bumper; no safety (restricted zoning)";"Strict compliance with international standards; No collisions; Zero damage to loads   ";"Strict compliance with international standards; No collisions; Zero damage to loads   ";"2D obstacle detection; Autonomous obstacle avoidance; CE; ETL; FCC   ";"2D obstacle detection; Autonomous obstacle avoidance; CE; ETL; FCC   ";"2D obstacle detection; Autonomous obstacle avoidance; CE; ETL; FCC   ";"2D obstacle detection; Autonomous obstacle avoidance; CE; ETL; FCC   ";"2D obstacle detection; Autonomous obstacle avoidance; CE; ETL; FCC   ";"Smart 360° safety; PL-D safety sensors; ISO 3691-4; ISO 13849   ";"Smart 360° safety; PL-D safety sensors; ISO 3691-4; ISO 13849   ";"Smart 360° safety; PL-D safety sensors; ISO 3691-4; ISO 13849   ";"Smart 360° safety; PL-D safety sensors; ISO 3691-4; ISO 13849   ";"Smart 360° safety; PL-D safety sensors; ISO 3691-4; ISO 13849   ";"Personal protection systems; 360° truck monitoring   ";"Personal protection systems; 360° truck monitoring   ";"Personal protection systems; 360° truck monitoring   ";"Personal protection systems; 360° truck monitoring   ";"Personal protection systems; 360° truck monitoring   ";Proximity Laser Scanner (PLS) devices (360° detection)   ;Proximity Laser Scanner (PLS) devices (360° detection)   ;Proximity Laser Scanner (PLS) devices (360° detection)   ;Proximity Laser Scanner (PLS) devices (360° detection)   ;Proximity Laser Scanner (PLS) devices (360° detection)   ;"360° obstacle detection; Safety Rated Lasers; Warning lights   ";"360° obstacle detection; Safety Rated Lasers; Warning lights";"Laser bumpers; E-Stop buttons   ";360° obstacle detection;"Laser obstacle scanner; SEnS+ Smart Environment Sensor   ";"Laser-based navigation; 360-degree field of view   ";"Laser-based navigation; 360-degree field of view   ";Laser-based navigation   ;Laser-based navigation   ;"Sensors and cameras; Integrated collision detection; ISO3691-4; 13 TÜV certified safety features   ";"Sensors and cameras; Integrated collision detection; ISO3691-4; 13 TÜV certified safety features   ";"Sensors and cameras; Integrated collision detection; ISO3691-4; 13 TÜV certified safety features   ";"Sensors and cameras; Integrated collision detection; ISO3691-4; 13 TÜV certified safety features   ";"Safety laser scanner; Obstacle avoidance sensors; 360° protection field   ";"Safety laser scanner; Obstacle avoidance sensors; 360° protection field   ";"Safety laser scanner; Obstacle avoidance sensors; 360° protection field   ";"Safety laser scanner; Obstacle avoidance sensors; 360° protection field   ";"Safety laser scanner; Obstacle avoidance sensors; 360° protection field   "
Autocharge;;Docking Station, Inductive Charging, none;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes - Auto / Manual Charging   ;Yes - Auto / Manual Charging   ;Yes - Auto / Manual Charging   ;Yes - Auto / Manual Charging   ;Yes - Auto / Manual Charging   ;N/A;Yes (at opportunity charge station);N/A;N/A;Yes - Automatic Charging System   ;Yes - Automatic Charging System   ;Yes - Automatic Charging System   ;Yes - Automatic Charging System   ;Yes - Automatic Charging System   ;N/A;N/A;N/A;N/A;Yes - 3 min charging = 1 hr operation   ;Yes - 3 min charging = 1 hr operation   ;Yes - 3 min charging = 1 hr operation   ;Yes - 3 min charging = 1 hr operation   ;Yes - 3 min charging = 1 hr operation   
Infrastructure needed;;"Reflectors; Floor guidance; VNA wire; special racking; very flat floors; none";N/A;N/A;"QR Codes on the floor; Floor markings   ";"QR Codes on the floor; Floor markings   ";"QR Codes on the floor; Floor markings   ";"QR Codes on the floor; Floor markings   ";"QR Codes on the floor; Floor markings   ";None (infrastructure-free navigation)   ;None (infrastructure-free navigation)   ;None (infrastructure-free navigation)   ;None (infrastructure-free navigation)   ;None (infrastructure-free navigation)   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Magnetic Tape Guidance (some models)   ;None (LiDAR models)   ;None (LiDAR models)   ;None (LiDAR models)   ;None (LiDAR models)   ;None (sensors and cameras)   ;None (sensors and cameras)   ;None (sensors and cameras)   ;None (sensors and cameras)   ;None (uses contours of surroundings)   ;None (uses contours of surroundings)   ;None (uses contours of surroundings)   ;None (uses contours of surroundings)   ;None (uses contours of surroundings)   
Outdoor compatibility;;"yes; limited; no";N/A;N/A;No - Indoor use only   ;No - Indoor use only   ;No - Indoor use only   ;No - Indoor use only   ;No - Indoor use only   ;No - Indoor use only;No - Indoor use only;No - Indoor use only;No - Indoor use only;No - Indoor use only;No   ;No   ;No   ;No   ;No   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No - Indoor use only   ;No - Indoor use only   ;No - Indoor use only   ;No - Indoor use only   ;N/A;Limited - Covered, protected outdoor areas;N/A;N/A;N/A
Manual Productive Usage;;"no; limited; full manual usage possible";N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes - dual driving mode   ;Yes - dual driving mode   ;Yes - dual driving mode   ;Yes - dual driving mode   ;Yes - dual driving mode   ;Yes - dual operation possible   ;Yes - dual operation possible   ;Yes - dual operation possible   ;Yes - dual operation possible   ;Yes - dual operation possible   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Process;;"Goods to Person; Commissioning; Replenishment; Production line fulfilment";"Piece/Case/Pallet Handling; Picking; Transport; Storage; Receiving; Shipping   ";"Piece/Case/Pallet Handling; Picking; Transport; Storage; Receiving; Shipping   ";"Shelf-to-Person; Tote-to-Person; Pallet-to-Person; Sorting; Intralogistics   ";"Shelf-to-Person; Tote-to-Person; Pallet-to-Person; Sorting; Intralogistics   ";"Shelf-to-Person; Tote-to-Person; Pallet-to-Person; Sorting; Intralogistics   ";"Shelf-to-Person; Tote-to-Person; Pallet-to-Person; Sorting; Intralogistics   ";"Shelf-to-Person; Tote-to-Person; Pallet-to-Person; Sorting; Intralogistics   ";"Pallet movement; High-bay storage; Horizontal applications; Tugger applications   ";"Pallet movement; High-bay storage; Horizontal applications; Tugger applications   ";"Pallet movement; High-bay storage; Horizontal applications; Tugger applications   ";"Pallet movement; High-bay storage; Horizontal applications; Tugger applications   ";"Pallet movement; High-bay storage; Horizontal applications; Tugger applications   ";"Transport tasks; Loading and unloading; Production supply/disposal   ";"Transport tasks; Loading and unloading; Production supply/disposal   ";"Transport tasks; Loading and unloading; Production supply/disposal   ";"Transport tasks; Loading and unloading; Production supply/disposal   ";"Transport tasks; Loading and unloading; Production supply/disposal   ";Transport from entry of raw materials to warehouse and shipments   ;Transport from entry of raw materials to warehouse and shipments   ;Transport from entry of raw materials to warehouse and shipments   ;Transport from entry of raw materials to warehouse and shipments   ;Transport from entry of raw materials to warehouse and shipments   ;"Material transportation; Trailer loading/unloading   ";"Material transportation; Raw material delivery; Finished goods transport   ";"Material transportation; Raw material delivery; Finished goods transport   ";"Material transportation; Raw material delivery; Finished goods transport   ";"Automate Receiving; Material Transportation; Storage; Picking; Shipping   ";"Automate Receiving; Material Transportation; Storage; Picking; Shipping   ";"Automate Receiving; Material Transportation; Storage; Picking; Shipping   ";"Automate Receiving; Material Transportation; Storage; Picking; Shipping   ";"Automate Receiving; Material Transportation; Storage; Picking; Shipping   ";"Internal transportation; Towing carts; Lifting/transporting shelves or pallets   ";"Internal transportation; Towing carts; Lifting/transporting shelves or pallets   ";"Internal transportation; Towing carts; Lifting/transporting shelves or pallets   ";"Internal transportation; Towing carts; Lifting/transporting shelves or pallets   ";"Transporting pallets; Racking & stacking; Production line fulfilment   ";"Transporting pallets; Racking & stacking; Production line fulfilment   ";"Transporting pallets; Racking & stacking; Production line fulfilment   ";"Transporting pallets; Racking & stacking; Production line fulfilment   ";"Transporting pallets; Racking & stacking; Production line fulfilment   "
Integration with WMS;;yes/no;Yes - with higher-level ERP and MES   ;Yes - with higher-level ERP and MES   ;Yes - with iWMS, WES, ERP   ;Yes - with iWMS, WES, ERP   ;Yes - with iWMS, WES, ERP   ;Yes - with iWMS, WES, ERP   ;Yes - with iWMS, WES, ERP   ;Yes - with WMS/ERP interface   ;Yes - with WMS/ERP interface   ;Yes - with WMS/ERP interface   ;Yes - with WMS/ERP interface   ;Yes - with WMS/ERP interface   ;N/A;N/A;N/A;N/A;N/A;Yes - with ERP   ;Yes - with ERP   ;Yes - with ERP   ;Yes - with ERP   ;Yes - with ERP   ;Yes - with WMS, ERP, MES, PLCs   ;Yes - with WMS, ERP, MES, PLCs   ;Yes - with WMS, ERP, MES, PLCs   ;Yes - with WMS, ERP, MES, PLCs   ;Yes - Liaison Fleet Management Software integrates with WMS   ;Yes - Liaison Fleet Management Software integrates with WMS   ;Yes - Liaison Fleet Management Software integrates with WMS   ;Yes - Liaison Fleet Management Software integrates with WMS   ;Yes - Liaison Fleet Management Software integrates with WMS   ;N/A;N/A;N/A;N/A;Yes - with WMS, ERP, MES via API   ;Yes - with WMS, ERP, MES via API   ;Yes - with WMS, ERP, MES via API   ;Yes - with WMS, ERP, MES via API   ;Yes - with WMS, ERP, MES via API   
Integration with Conveyors;;yes/no;Yes   ;Yes   ;N/A;N/A;N/A;N/A;N/A;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;N/A;N/A;N/A;N/A;N/A;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;N/A;N/A;N/A;N/A;N/A;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;Yes   ;Yes   
